vehicle_id,scheduled_depart_s,sampled_headway_s,preferred_speed_mps,min_gap_m,preferred_tau_s
veh_000809,4858.463189,4.729851,23.363073,2.735165,2.148016
veh_000810,4864.829221,6.366032,20.757313,3.928912,1.672348
veh_000811,4871.701351,6.872130,20.183064,5.130521,1.736881
veh_000812,4879.850746,8.149395,25.482193,2.834169,1.621919
veh_000813,4884.866118,5.015372,21.402932,2.772112,1.675500
veh_000814,4890.389130,5.523012,20.123574,3.665887,1.839111
veh_000815,4896.460748,6.071618,22.342785,5.321980,1.707301
veh_000816,4902.018369,5.557621,24.827567,2.848852,1.173594
veh_000817,4907.940384,5.922014,24.056362,3.253049,1.823662
veh_000818,4911.597115,3.656732,19.807733,3.010152,2.348489
veh_000819,4918.154748,6.557632,22.130514,2.888291,1.385975
veh_000820,4922.781960,4.627213,24.346585,3.188523,1.936659
veh_000821,4927.346518,4.564558,21.725741,2.424063,1.894406
veh_000822,4930.964329,3.617811,21.480928,4.598557,1.457779
veh_000823,4938.705831,7.741502,24.554774,3.016622,1.765274
veh_000824,4944.494917,5.789086,22.598509,4.742918,1.479682
veh_000825,4952.219155,7.724238,25.212572,1.754425,1.615364
veh_000826,4958.627608,6.408453,18.667369,2.937031,1.847136
veh_000827,4962.072567,3.444959,21.440427,3.390879,1.793827
veh_000828,4966.447022,4.374455,25.560269,2.511068,1.436072
veh_000829,4973.583920,7.136898,19.505499,3.601049,1.464437
veh_000830,4978.435396,4.851476,24.749904,2.752321,1.915911
veh_000831,4982.799880,4.364484,21.155113,3.482175,1.649859
veh_000832,4988.530811,5.730931,25.599063,2.920380,1.919778
veh_000833,4994.265360,5.734549,24.666226,3.120124,1.906563
veh_000834,4998.747559,4.482199,23.354782,2.589177,1.978541
veh_000835,5004.258341,5.510782,22.677946,4.007742,1.946556
veh_000836,5009.540602,5.282261,20.571753,2.670813,1.597421
veh_000837,5011.655618,2.115016,19.387869,3.384369,1.955601
veh_000838,5018.409613,6.753995,22.906337,3.085049,1.974565
veh_000839,5023.192551,4.782938,20.700693,2.371289,1.723591
veh_000840,5031.149210,7.956659,22.174673,2.614710,1.554824
veh_000841,5035.424024,4.274814,19.923208,3.608814,1.745360
veh_000842,5039.054626,3.630602,25.950028,3.937963,2.334530
veh_000843,5046.836062,7.781436,22.772144,3.746294,2.102945
veh_000844,5050.458479,3.622417,21.203846,2.737717,1.763785
veh_000845,5055.504218,5.045739,20.534192,2.455169,2.013634
veh_000846,5062.400223,6.896005,21.306300,2.810590,2.064498
veh_000847,5067.905754,5.505531,22.944996,2.930726,2.321523
veh_000848,5071.422546,3.516792,22.945261,3.848486,1.798426
veh_000849,5077.704599,6.282053,20.784584,2.906256,1.670021
veh_000850,5083.413114,5.708516,23.195226,2.124459,2.206690
veh_000851,5091.338897,7.925783,26.197795,2.085393,2.449324
veh_000852,5098.221869,6.882972,20.075875,2.741163,1.955041
veh_000853,5108.775440,10.553571,24.476050,3.345918,1.824008
veh_000854,5112.306599,3.531159,19.763462,3.701591,2.052685
veh_000855,5118.274087,5.967488,21.998117,3.838924,2.153323
veh_000856,5122.674105,4.400018,20.418580,3.970289,1.689530
veh_000857,5130.406231,7.732126,20.660230,3.376642,1.836455
veh_000858,5137.638988,7.232757,24.691626,2.908891,2.574424
veh_000859,5144.770045,7.131057,23.581594,2.303673,2.321921
veh_000860,5149.604047,4.834002,21.944259,2.060612,1.032758
veh_000861,5154.486319,4.882273,22.259634,3.324402,1.453550
veh_000862,5157.441800,2.955480,22.452452,3.069698,1.960571
veh_000863,5166.006050,8.564250,21.826519,4.117941,1.900236
veh_000864,5172.768379,6.762329,23.308507,2.622162,1.993899
veh_000865,5178.377089,5.608710,24.327316,2.716022,1.650765
veh_000866,5185.777362,7.400273,23.741892,3.369099,2.184191
veh_000867,5192.903735,7.126373,25.353260,3.050941,1.959630
veh_000868,5200.366631,7.462896,19.447077,3.703241,1.776264
veh_000869,5203.931325,3.564694,18.656885,3.344795,1.817314
veh_000870,5208.860571,4.929246,22.459671,2.830277,2.313509
veh_000871,5215.153734,6.293163,20.799740,3.133897,1.685286
veh_000872,5221.686866,6.533132,19.031007,2.543457,1.492919
veh_000873,5229.122718,7.435852,23.996201,2.749869,1.938988
veh_000874,5233.609765,4.487047,21.003842,2.342901,1.940826
veh_000875,5239.800579,6.190814,18.711431,2.538211,1.842478
veh_000876,5249.108609,9.308031,22.448193,3.281483,1.700351
veh_000877,5256.146492,7.037883,22.261161,3.181056,2.492970
veh_000878,5263.452337,7.305844,18.164978,3.186435,2.069646
veh_000879,5269.423556,5.971219,25.292318,3.392196,1.692622
veh_000880,5276.574996,7.151441,23.982744,2.171638,1.854228
veh_000881,5285.280981,8.705985,22.751155,3.607973,1.988981
veh_000882,5291.440944,6.159963,19.246841,2.458597,1.881363
veh_000883,5299.276912,7.835968,20.782224,5.480970,1.953503
veh_000884,5303.964202,4.687291,21.258128,2.238834,1.750257
veh_000885,5310.849351,6.885148,21.360108,3.104861,1.717277
veh_000886,5318.205676,7.356325,23.618424,3.161826,1.673504
veh_000887,5323.077671,4.871995,23.187122,1.579878,1.767359
veh_000888,5330.724857,7.647186,22.392256,1.932020,1.627909
veh_000889,5335.711987,4.987130,25.653223,3.718035,1.723191
veh_000890,5340.504128,4.792141,21.320447,2.908500,2.177822
veh_000891,5346.502340,5.998211,19.115164,3.281472,1.888262
veh_000892,5355.400324,8.897985,23.089321,5.044026,2.103819
veh_000893,5361.864054,6.463729,22.283645,3.049368,2.270684
veh_000894,5369.267731,7.403677,21.661507,3.431724,2.060071
veh_000895,5374.170034,4.902303,21.580048,3.293211,1.819483
veh_000896,5380.286280,6.116246,21.757194,2.337957,1.625913
veh_000897,5384.521446,4.235165,23.879116,4.302936,2.025125
veh_000898,5389.664786,5.143340,23.214166,4.214101,1.264556
veh_000899,5396.918247,7.253461,25.171596,3.706556,2.188103
veh_000900,5402.860651,5.942404,19.806472,3.455351,1.980359
veh_000901,5411.037596,8.176945,23.514308,2.663213,1.623312
veh_000902,5416.733971,5.696375,23.766384,2.621403,1.857545
veh_000903,5422.437067,5.703096,21.313427,4.530526,1.638614
veh_000904,5430.352090,7.915022,23.564428,3.564953,1.647309
veh_000905,5435.379165,5.027075,21.272906,3.346416,2.048249
veh_000906,5439.099518,3.720353,24.272372,3.901350,2.037898
veh_000907,5447.051433,7.951915,23.405471,3.792103,2.049648
veh_000908,5453.672715,6.621282,23.388442,1.614604,1.869220
veh_000909,5456.424923,2.752208,25.567247,3.173462,2.384336
veh_000910,5462.491717,6.066794,24.242565,2.853244,1.494387
veh_000911,5467.886036,5.394320,24.263357,2.254599,1.763866
veh_000912,5476.503296,8.617259,19.648151,3.770207,2.220872
veh_000913,5481.409809,4.906513,22.280979,1.890400,1.960825
veh_000914,5486.538656,5.128848,20.354529,3.043376,1.974502
veh_000915,5491.173055,4.634399,25.427169,1.962453,1.564528
veh_000916,5495.591971,4.418916,23.371674,2.344036,1.777307
veh_000917,5500.541227,4.949256,22.969241,3.953833,1.690223
veh_000918,5504.387341,3.846113,26.340664,3.689900,1.642533
veh_000919,5508.840544,4.453204,21.852290,2.152874,1.439143
veh_000920,5512.430667,3.590122,22.662193,1.869878,1.717094
veh_000921,5516.184748,3.754082,23.285005,3.501817,2.156928
veh_000922,5519.845236,3.660487,21.216365,2.035170,1.798005
veh_000923,5525.063498,5.218262,21.555451,1.826056,1.787175
veh_000924,5530.037965,4.974467,19.912586,2.661914,1.512380
veh_000925,5534.198259,4.160294,21.240184,3.786360,1.941873
veh_000926,5540.915665,6.717406,25.217257,2.113872,2.057433
veh_000927,5546.843552,5.927886,21.585372,3.348184,1.348750
veh_000928,5552.195588,5.352036,23.396548,4.635384,1.898664
veh_000929,5557.499628,5.304040,19.540908,2.601586,1.424507
veh_000930,5565.888947,8.389319,22.875817,2.709411,2.024043
veh_000931,5572.248668,6.359721,20.897219,2.410462,2.670182
veh_000932,5578.961736,6.713067,19.236238,4.648286,1.644676
veh_000933,5581.082676,2.120940,21.287228,3.399387,1.504183
veh_000934,5586.102074,5.019398,24.659690,3.370586,1.624176
veh_000935,5588.845564,2.743490,22.322107,3.782274,1.792175
veh_000936,5594.206257,5.360694,21.854189,4.231615,1.752234
veh_000937,5600.766223,6.559965,19.746206,2.187050,1.029404
veh_000938,5605.754776,4.988553,24.795914,3.165758,1.403028
veh_000939,5612.532689,6.777913,22.655273,2.519338,1.778515
veh_000940,5616.998564,4.465875,19.525678,5.280469,2.214512
veh_000941,5623.862269,6.863705,22.469226,3.017116,2.507069
veh_000942,5627.531855,3.669586,19.968083,2.853126,1.643901
veh_000943,5633.139323,5.607468,21.674299,3.405955,1.729403
veh_000944,5639.769033,6.629711,19.931414,2.888138,1.847592
veh_000945,5646.572915,6.803881,23.664612,3.324842,1.405644
veh_000946,5652.382020,5.809105,20.700285,2.319871,1.960845
veh_000947,5661.291591,8.909571,25.951315,2.531391,1.720516
veh_000948,5666.669961,5.378370,19.672401,3.256079,1.954803
veh_000949,5671.993468,5.323506,26.182313,3.577725,1.816059
veh_000950,5680.646868,8.653401,25.749091,3.450774,2.073907
veh_000951,5686.093371,5.446503,21.196355,3.455190,2.189980
veh_000952,5690.329348,4.235977,25.625306,2.083189,2.035263
veh_000953,5698.310704,7.981357,24.842130,2.608240,2.019807
veh_000954,5706.163964,7.853259,22.761293,1.537842,1.545372
veh_000955,5712.326452,6.162488,21.832242,2.403289,2.414177
veh_000956,5716.174070,3.847618,22.028576,2.403230,1.922166
veh_000957,5722.802534,6.628464,18.602070,3.720159,2.293490
veh_000958,5727.870446,5.067912,21.236186,3.637198,1.722332
veh_000959,5732.114288,4.243842,23.762450,3.733729,1.516781
veh_000960,5739.679347,7.565059,22.701568,2.767902,1.917307
veh_000961,5742.480458,2.801112,19.899987,3.370882,1.842159
veh_000962,5749.331203,6.850745,25.248601,4.335204,1.871198
veh_000963,5756.020236,6.689033,23.956381,4.017321,2.009617
veh_000964,5765.096752,9.076516,25.821961,2.270839,1.568987
veh_000965,5771.584513,6.487761,21.756779,2.837111,2.124493
veh_000966,5774.496866,2.912353,25.174955,2.189427,1.839809
veh_000967,5779.242684,4.745819,22.277598,3.538037,1.725348
veh_000968,5785.339685,6.097000,24.567318,2.903858,2.195488
veh_000969,5791.873030,6.533345,21.462817,3.955236,2.272628
veh_000970,5799.344254,7.471224,21.343495,3.338023,2.145554
veh_000971,5802.404741,3.060486,21.568535,3.310234,1.829352
veh_000972,5807.909816,5.505075,24.424719,3.769025,1.838673
veh_000973,5815.364607,7.454791,20.648113,3.861768,1.632033
veh_000974,5823.680562,8.315955,23.776147,2.814957,1.076441
veh_000975,5832.472098,8.791536,22.389181,2.101025,1.579141
veh_000976,5837.886769,5.414671,23.492592,3.394825,1.877732
veh_000977,5845.533177,7.646408,22.274225,2.868119,1.929418
veh_000978,5854.100745,8.567569,19.726074,1.683645,1.394081
veh_000979,5861.897850,7.797104,22.915343,2.934632,1.817631
veh_000980,5868.983378,7.085528,20.937695,1.964309,1.324592
veh_000981,5876.225073,7.241695,23.281018,3.973561,2.525046
veh_000982,5881.040247,4.815174,22.305613,2.856827,1.625347
veh_000983,5884.869372,3.829125,23.209283,2.993638,1.742695
veh_000984,5892.343644,7.474272,20.962191,4.851640,1.639879
veh_000985,5897.823044,5.479400,24.615748,2.850997,2.113987
veh_000986,5903.780843,5.957800,21.101298,3.106216,2.517545
veh_000987,5908.912763,5.131920,23.285582,2.275787,1.787536
veh_000988,5914.323403,5.410640,20.300855,3.167139,1.374388
veh_000989,5920.672527,6.349124,19.499306,2.741244,1.772800
veh_000990,5925.139738,4.467211,22.443719,3.841313,1.547899
veh_000991,5931.242488,6.102750,19.467537,2.239260,2.263166
veh_000992,5937.611570,6.369082,24.737530,1.873567,1.521078
veh_000993,5943.495537,5.883967,20.395051,3.421509,1.663380
veh_000994,5948.380092,4.884555,20.808293,4.346665,1.789142
veh_000995,5955.560022,7.179930,26.209911,2.229475,2.059418
veh_000996,5964.368978,8.808955,24.626543,3.460256,1.668236
veh_000997,5969.467113,5.098136,21.326201,3.197982,1.785971
veh_000998,5977.318807,7.851694,20.702197,2.793230,1.589528
veh_000999,5984.652704,7.333896,22.158899,2.661046,1.790116
veh_001000,5986.672826,2.020122,19.422281,3.832422,1.472326
veh_001001,5991.531035,4.858209,23.428311,2.280569,1.861193
veh_001002,5996.577274,5.046240,22.956330,4.349206,1.641617
veh_001003,6003.749932,7.172657,25.424050,4.351271,1.802158
veh_001004,6010.032664,6.282732,23.646167,1.959690,1.813802
veh_001005,6016.744261,6.711597,22.095995,2.070414,1.840223
veh_001006,6023.698679,6.954418,26.388823,3.365266,2.194171
veh_001007,6028.350304,4.651625,24.884902,3.350207,1.468345
veh_001008,6033.230479,4.880175,21.345487,3.054948,1.976593
veh_001009,6037.396146,4.165667,21.107398,2.992703,2.046350
veh_001010,6043.140740,5.744594,23.694436,3.599398,1.639574
veh_001011,6048.962085,5.821345,20.208756,3.603984,1.418702
veh_001012,6055.218893,6.256808,24.428859,3.270030,1.706362
veh_001013,6060.127931,4.909039,21.606803,1.804708,1.363249
veh_001014,6067.487718,7.359787,23.709044,3.306706,2.125391
veh_001015,6074.863384,7.375666,20.997293,1.974747,1.619721
veh_001016,6083.183163,8.319778,22.919399,4.119616,1.817432
veh_001017,6090.250125,7.066962,20.437742,2.105918,2.171487
veh_001018,6096.528391,6.278267,20.129713,2.426482,1.488881
veh_001019,6103.537027,7.008636,25.291108,2.766932,1.579033
veh_001020,6110.451655,6.914628,23.861711,3.001899,1.510237
veh_001021,6115.473933,5.022278,22.138551,2.940877,1.978346
veh_001022,6123.408011,7.934078,20.943133,2.243660,1.682208
veh_001023,6131.985788,8.577777,19.942546,3.422449,1.813912
veh_001024,6140.951218,8.965430,19.973193,1.953904,2.192692
veh_001025,6147.004056,6.052839,21.520602,2.542915,1.605164
veh_001026,6153.490462,6.486406,25.999746,2.633842,1.541896
veh_001027,6160.115000,6.624538,23.791577,2.518166,1.589269
veh_001028,6166.111182,5.996182,22.813427,2.242227,1.432063
veh_001029,6173.040115,6.928933,21.570374,2.621008,1.552992
veh_001030,6178.858345,5.818230,24.047299,3.151357,1.919503
veh_001031,6184.567670,5.709325,23.725600,3.159232,1.755461
veh_001032,6193.206143,8.638473,20.672941,2.458466,2.336553
veh_001033,6199.453217,6.247073,21.095290,2.863319,1.847570
veh_001034,6205.553732,6.100515,21.625845,2.871561,1.497325
veh_001035,6212.876761,7.323029,22.488235,2.904316,1.685429
veh_001036,6219.102260,6.225499,19.489395,3.616713,2.146259
veh_001037,6225.539694,6.437433,19.417446,4.014900,1.902240
veh_001038,6231.444347,5.904654,22.297731,2.840026,1.544637
veh_001039,6235.613723,4.169375,19.564521,4.037765,1.466742
veh_001040,6241.567265,5.953542,23.116987,3.942364,1.887126
veh_001041,6245.861938,4.294673,24.539025,2.727457,1.648126
veh_001042,6252.177165,6.315227,24.981135,3.645223,1.828320
veh_001043,6256.405007,4.227843,23.926746,3.430159,1.760657
veh_001044,6263.780071,7.375064,22.979088,3.273628,1.384275
veh_001045,6270.903923,7.123852,21.487178,2.977470,1.456694
veh_001046,6277.324566,6.420642,22.855589,5.061023,2.108611
veh_001047,6283.174365,5.849799,21.991080,4.455148,1.357344
veh_001048,6289.798817,6.624452,24.574153,3.258048,1.479614
veh_001049,6292.851319,3.052502,21.533353,2.598153,1.380122
veh_001050,6297.206089,4.354770,20.320312,3.563507,2.089776
veh_001051,6302.982990,5.776900,23.445002,3.827067,1.682584
veh_001052,6309.500879,6.517889,19.583325,2.622609,2.044598
veh_001053,6315.381785,5.880906,22.361832,3.056147,1.633493
veh_001054,6319.874870,4.493085,19.678680,3.615319,1.872764
veh_001055,6326.075039,6.200169,19.936447,3.438997,1.461790
veh_001056,6331.394488,5.319449,25.484159,2.080084,1.584479
veh_001057,6335.791593,4.397104,23.456801,2.608346,1.653051
veh_001058,6342.285846,6.494253,21.448103,2.459351,1.769964
veh_001059,6347.970878,5.685033,23.860394,3.297751,1.668137
veh_001060,6355.765603,7.794725,19.428433,2.430060,1.782818
veh_001061,6362.763901,6.998298,22.435341,3.564485,1.905550
veh_001062,6369.865908,7.102007,20.091901,3.526522,2.420316
veh_001063,6376.348408,6.482500,23.025693,3.465301,2.024974
veh_001064,6381.080641,4.732233,19.114162,2.819499,1.746602
veh_001065,6385.677200,4.596559,21.841360,5.032967,1.849476
veh_001066,6389.470463,3.793263,20.458796,2.807859,1.653176
veh_001067,6399.788982,10.318519,19.628307,3.154845,2.166585
veh_001068,6404.169815,4.380833,24.483266,2.747224,1.917789
veh_001069,6409.855067,5.685252,20.606386,2.929493,1.847676
veh_001070,6415.314483,5.459416,23.169478,2.413786,1.965788
veh_001071,6420.892837,5.578354,21.521028,3.762288,2.479754
veh_001072,6426.016761,5.123924,22.915036,2.777272,1.512760
veh_001073,6429.214244,3.197483,22.820848,2.897120,2.201225
veh_001074,6433.716953,4.502709,20.319849,3.058075,1.682398
veh_001075,6437.630949,3.913996,21.523266,1.011350,1.519698
veh_001076,6443.440780,5.809831,25.772232,2.037310,2.251539
veh_001077,6448.414481,4.973701,21.678698,3.520810,2.638725
veh_001078,6453.383710,4.969230,19.208057,2.838166,1.944535
veh_001079,6459.707529,6.323819,22.561786,4.056097,1.737806
veh_001080,6464.833351,5.125822,22.730509,4.478290,2.123662
veh_001081,6472.231493,7.398141,25.530014,2.386689,2.272759
veh_001082,6477.652223,5.420730,24.608794,3.493956,1.768521
veh_001083,6483.989958,6.337735,23.000843,3.357297,1.903325
veh_001084,6488.002013,4.012055,23.805605,2.492820,2.362759
veh_001085,6494.987322,6.985310,22.131879,4.489422,1.742460
veh_001086,6500.379547,5.392225,19.954166,3.562573,1.650120
veh_001087,6506.992685,6.613137,20.272410,2.225549,1.517076
veh_001088,6513.487692,6.495008,25.359285,1.818944,1.168333
veh_001089,6519.227528,5.739835,18.733243,3.925725,1.762672
veh_001090,6525.553686,6.326159,26.259793,1.209640,1.458759
veh_001091,6530.975742,5.422055,24.554251,3.415151,1.709513
veh_001092,6538.994906,8.019165,24.432508,3.033768,2.332800
veh_001093,6546.396339,7.401433,20.677943,3.635074,1.937721
veh_001094,6553.120081,6.723741,23.236277,3.196499,1.797886
veh_001095,6557.349870,4.229789,23.903200,2.975744,1.836050
veh_001096,6561.700912,4.351042,22.503213,2.751594,2.326962
veh_001097,6566.705119,5.004208,19.069154,2.699437,1.815152
veh_001098,6572.337616,5.632496,23.423151,2.951135,1.824627
veh_001099,6579.009639,6.672024,22.355834,4.050260,2.072094
veh_001100,6583.664832,4.655193,24.603511,3.344963,2.007566
veh_001101,6591.430443,7.765611,20.210062,3.269626,2.095873
veh_001102,6597.435836,6.005392,21.981151,2.714656,1.998862
veh_001103,6600.416663,2.980827,20.824133,3.104835,1.983494
veh_001104,6605.703687,5.287024,23.219036,1.723279,1.756710
veh_001105,6607.825909,2.122222,22.088044,4.274070,1.605154
veh_001106,6612.698316,4.872407,22.451888,2.902818,2.046138
veh_001107,6617.874625,5.176308,21.646933,3.081674,1.423564
veh_001108,6622.959009,5.084385,19.444622,3.987474,1.803722
veh_001109,6628.471129,5.512120,21.199142,2.730301,2.021436
veh_001110,6633.879976,5.408847,19.549302,4.533291,1.953975
veh_001111,6638.989375,5.109398,19.977679,2.135393,1.528364
veh_001112,6647.243120,8.253745,18.114375,2.695349,1.768216
veh_001113,6655.065474,7.822353,20.790247,1.747226,2.181973
veh_001114,6659.352713,4.287239,20.644360,2.360720,2.128538
veh_001115,6667.233562,7.880850,21.647300,2.638307,2.289394
veh_001116,6670.801511,3.567949,20.913647,3.088898,1.944765
veh_001117,6675.579593,4.778082,20.789987,3.102636,2.184909
veh_001118,6683.867382,8.287789,18.999896,3.600828,2.286580
veh_001119,6686.508052,2.640670,18.783516,2.018754,1.688739
veh_001120,6693.370231,6.862178,24.659102,2.837269,2.160666
veh_001121,6697.489989,4.119759,21.342447,2.898060,1.630890
veh_001122,6703.273989,5.784000,18.672749,4.499441,1.942033
veh_001123,6709.003684,5.729695,24.827808,4.151604,1.812707
veh_001124,6717.549491,8.545806,21.857856,3.567642,1.277133
veh_001125,6722.333586,4.784095,24.431613,2.342704,1.555366
veh_001126,6728.230063,5.896477,23.292959,3.573317,1.729966
veh_001127,6735.170592,6.940530,18.266122,2.208401,1.670360
veh_001128,6740.792926,5.622334,23.028938,1.621162,1.339489
veh_001129,6745.559825,4.766899,23.800201,1.774994,1.404913
veh_001130,6751.471026,5.911200,23.481543,1.380951,1.715820
veh_001131,6757.611293,6.140267,20.307807,3.826542,2.038237
veh_001132,6764.937376,7.326083,21.132457,2.628347,1.125822
veh_001133,6769.522797,4.585421,19.983719,1.971505,1.791266
veh_001134,6774.849102,5.326304,20.787489,2.150669,1.800280
veh_001135,6781.333516,6.484414,19.982169,2.196399,1.377886
veh_001136,6787.082765,5.749249,21.622740,3.179459,1.851243
veh_001137,6792.804844,5.722080,23.021540,3.460438,1.467469
veh_001138,6798.779340,5.974495,20.509071,3.824026,2.439163
veh_001139,6803.735580,4.956241,22.729731,2.860680,1.967798
veh_001140,6808.536045,4.800464,24.479564,5.344302,1.987842
veh_001141,6815.197140,6.661095,21.625809,3.033982,1.456644
veh_001142,6819.554490,4.357350,19.802843,2.536800,1.943660
veh_001143,6827.302566,7.748076,26.303585,3.984356,1.680695
veh_001144,6833.628523,6.325957,23.010611,1.995470,1.557680
veh_001145,6837.713711,4.085188,24.124792,2.972872,1.604125
veh_001146,6844.138252,6.424540,19.084707,2.135619,1.967220
veh_001147,6850.389170,6.250918,19.726123,4.187896,1.116738
veh_001148,6857.532412,7.143242,24.047181,2.350412,1.404871
veh_001149,6865.270686,7.738274,25.021634,3.723883,1.217255
veh_001150,6870.721057,5.450371,23.660209,3.695415,2.140590
veh_001151,6875.659413,4.938356,22.595103,3.710323,1.856500
veh_001152,6880.750441,5.091028,20.509297,1.582784,1.399521
veh_001153,6885.278808,4.528367,21.284779,3.525751,2.032908
veh_001154,6890.159146,4.880338,23.289667,2.047642,1.730191
veh_001155,6896.585900,6.426754,20.566994,1.726708,1.510521
veh_001156,6902.608798,6.022899,23.887731,2.668626,1.555543
veh_001157,6907.871763,5.262964,21.684448,2.744666,1.747778
veh_001158,6912.764379,4.892616,18.941879,1.779870,1.769600
veh_001159,6919.286209,6.521829,24.251267,1.861303,1.997858
veh_001160,6924.533810,5.247601,23.535065,3.131111,1.575906
veh_001161,6928.973575,4.439765,20.932661,2.848386,1.844016
veh_001162,6934.746063,5.772488,21.640918,3.225132,1.961372
veh_001163,6940.349322,5.603260,20.301928,3.864161,1.845462
veh_001164,6944.744260,4.394938,21.459882,3.443148,1.953157
veh_001165,6951.985025,7.240765,25.089977,3.548723,1.595201
veh_001166,6959.254044,7.269019,22.565286,2.247910,1.764681
veh_001167,6965.315384,6.061341,21.173190,3.455039,2.014777
veh_001168,6971.511945,6.196561,21.985718,2.910172,1.911406
veh_001169,6978.302907,6.790962,24.775928,2.561285,1.607659
veh_001170,6984.256523,5.953616,22.356378,2.567940,1.818694
veh_001171,6991.593461,7.336938,23.664440,3.297669,2.109115
veh_001172,7000.077474,8.484013,21.807210,2.505467,2.000416
veh_001173,7006.198214,6.120740,26.294107,2.805033,1.802783
veh_001174,7012.858594,6.660380,23.115933,2.579295,2.079887
veh_001175,7020.168771,7.310178,25.049995,3.335888,1.829211
veh_001176,7025.661707,5.492936,19.073439,2.401892,1.936640
veh_001177,7029.969250,4.307543,21.226701,3.860178,1.495842
veh_001178,7037.328252,7.359001,24.897246,3.550852,1.618641
veh_001179,7040.975105,3.646853,22.158133,3.744573,2.075112
veh_001180,7049.658360,8.683255,25.541038,4.152360,1.987733
veh_001181,7056.964010,7.305650,18.138916,2.741344,1.943821
veh_001182,7063.245547,6.281537,22.891809,1.790132,1.466643
veh_001183,7069.322191,6.076644,21.387756,3.820158,1.742420
veh_001184,7077.949228,8.627037,19.920835,2.023587,1.787039
veh_001185,7082.529889,4.580661,20.921455,3.741281,1.818760
veh_001186,7086.789599,4.259710,20.812371,4.208744,1.127589
veh_001187,7091.892395,5.102796,19.832058,3.669021,1.984536
veh_001188,7097.499699,5.607304,20.507599,2.766298,2.395509
veh_001189,7101.989995,4.490296,23.744107,1.991991,2.227394
veh_001190,7108.220786,6.230792,22.656032,2.909175,1.704885
veh_001191,7114.424704,6.203917,19.649986,3.118567,1.741105
veh_001192,7119.203918,4.779214,19.814106,2.383659,2.225952
veh_001193,7127.608497,8.404579,24.247123,2.759415,1.957673
veh_001194,7131.520386,3.911889,18.487176,1.701887,1.618361
veh_001195,7135.605302,4.084916,21.119283,1.936320,2.189641
veh_001196,7142.169482,6.564180,23.597260,3.858159,1.883082
veh_001197,7147.858258,5.688776,21.055967,3.222306,2.398626
veh_001198,7154.484848,6.626590,23.243390,2.454464,1.193621
veh_001199,7159.556392,5.071544,21.377192,3.063929,1.500511
veh_001200,7164.006382,4.449990,23.545463,2.954657,1.960971
veh_001201,7169.038067,5.031685,23.913635,2.245884,2.047567
veh_001202,7174.012674,4.974607,18.004929,2.570344,1.574109
veh_001203,7180.800168,6.787494,23.172076,2.862348,1.911223
veh_001204,7186.080231,5.280062,20.982719,3.686479,1.643236
veh_001205,7193.222376,7.142146,24.050522,2.297388,2.062205
veh_001206,7200.104489,6.882113,23.087758,3.576359,1.626399
veh_001207,7207.665384,7.560894,20.395671,2.316055,2.056542
veh_001208,7215.016462,7.351079,23.732071,3.051457,1.967586
veh_001209,7222.192991,7.176529,23.571617,4.762501,2.266272
veh_001210,7229.347771,7.154779,24.000781,2.375543,2.107892
veh_001211,7234.572732,5.224962,19.782000,5.195424,1.414660
veh_001212,7240.179906,5.607174,21.156816,1.815168,1.516342
veh_001213,7243.434716,3.254809,23.289174,2.930959,1.986780
veh_001214,7249.872341,6.437626,26.744541,2.671957,1.687187
veh_001215,7254.861693,4.989351,25.279248,3.056306,1.888717
veh_001216,7261.464011,6.602318,25.202761,2.645018,1.624121
veh_001217,7268.255237,6.791226,21.639801,3.221343,2.003514
veh_001218,7272.227096,3.971859,26.369262,3.092316,1.518684
veh_001219,7276.706337,4.479241,19.827939,3.371405,2.003711
veh_001220,7282.182318,5.475980,22.818459,2.618517,2.358514
veh_001221,7287.405917,5.223599,24.693205,2.734113,1.858232
veh_001222,7293.656447,6.250530,24.510107,2.218358,1.781693
veh_001223,7297.923311,4.266864,24.773888,2.837825,1.679354
veh_001224,7303.994079,6.070767,21.779511,3.272949,1.690054
veh_001225,7307.461351,3.467272,18.565055,2.385359,1.816451
veh_001226,7310.228685,2.767334,21.635229,3.347667,1.740188
veh_001227,7317.303680,7.074995,25.152203,3.331456,2.000039
veh_001228,7321.345710,4.042030,24.122759,3.067039,2.074735
veh_001229,7326.505834,5.160123,18.287976,2.890507,2.318732
veh_001230,7330.379789,3.873956,25.473722,2.011175,2.176224
veh_001231,7334.266483,3.886694,22.081205,3.008204,1.966645
veh_001232,7339.668198,5.401715,23.161248,3.660104,1.368967
veh_001233,7345.053006,5.384807,26.043225,3.383837,1.357235
veh_001234,7352.526886,7.473881,21.836404,3.911264,1.772729
veh_001235,7359.201154,6.674268,24.030262,3.706546,1.790483
veh_001236,7364.809477,5.608322,21.195402,2.199455,1.712004
veh_001237,7371.946002,7.136525,26.632251,3.585617,1.996538
veh_001238,7379.620833,7.674831,22.199345,3.823555,1.107181
veh_001239,7386.237780,6.616947,22.274242,2.796123,2.013641
veh_001240,7391.628306,5.390526,20.915125,2.960958,1.818475
veh_001241,7399.156211,7.527905,22.848409,2.408697,1.676246
veh_001242,7407.808994,8.652782,24.630202,2.738140,1.667592
veh_001243,7414.799795,6.990801,19.102551,3.590116,1.920414
